EXPNUM,MU,PSP,INV,USFSspID,Month,Year,EXPF,TREENUM,DCLASS,DBH,KCODE
1,90,11,20,4,6,2000,50,1600,1,0.7,100
1,90,11,20,6,6,2000,5,4600,13,12.8,200
1,90,11,20,6,6,2000,5,4800,8,7.7,200
1,90,11,20,4,6,2000,5,5100,15,15.3,200
1,90,11,20,6,6,2000,5,11600,6,6.2,200
1,90,11,20,6,6,2000,5,11700,16,15.9,200
1,90,11,20,4,6,2000,5,14900,9,8.6,200
1,90,11,20,6,6,2000,5,20800,12,11.5,200
1,90,11,20,1,6,2000,50,31100,1,0.9,100
1,90,11,20,6,6,2000,50,31400,1,0.7,100
1,90,11,20,4,6,2000,5,31500,14,13.6,200
1,90,11,20,4,6,2000,5,33200,14,13.9,200
1,90,11,20,4,6,2000,5,34600,9,8.5,200
1,90,11,20,6,6,2000,50,40200,1,0.7,100
1,90,11,20,6,6,2000,50,41300,1,1.1,100
1,90,11,20,4,6,2000,5,43200,13,12.8,200
1,90,11,20,6,6,2000,5,43600,14,13.8,200
1,90,11,20,1,6,2000,50,51200,2,2,100
1,90,11,20,4,6,2000,5,51700,17,16.6,200
1,90,11,20,1,6,2000,5,51800,5,4.6,200
1,90,11,20,1,6,2000,5,55100,5,5.2,200
1,90,11,20,1,6,2000,5,55200,5,5.2,200
1,90,11,20,10,6,2000,50,60900,2,1.6,100
1,90,11,20,1,6,2000,50,61400,1,1,100
1,90,11,20,6,6,2000,5,63900,8,8.3,200
1,90,11,20,4,6,2000,5,64000,15,15.3,200
1,90,11,20,6,6,2000,5,64900,7,7.1,200
1,90,11,20,10,6,2000,50,70600,2,1.8,100
1,90,11,20,1,6,2000,50,71000,1,1.1,100
1,90,11,20,1,6,2000,50,71200,2,1.8,100
1,90,11,20,1,6,2000,20,71400,3,2.7,100
1,90,11,20,1,6,2000,50,71600,2,2,100
1,90,11,20,4,6,2000,50,71700,1,1,100
1,90,11,20,6,6,2000,20,72400,3,2.7,100
1,90,11,20,6,6,2000,5,73400,9,9.2,200
1,90,11,20,4,6,2000,5,74200,15,14.7,200
1,90,11,20,6,6,2000,5,74500,12,12.3,200
1,90,11,20,4,6,2000,50,81100,1,0.9,100
1,90,11,20,6,6,2000,50,81400,1,1.3,100
1,90,11,20,6,6,2000,50,81500,2,2.4,100
1,90,11,20,1,6,2000,5,83800,5,4.8,200
1,90,11,20,4,6,2000,5,85200,10,10.1,200
1,90,11,20,1,6,2000,20,91100,3,3.1,100
1,90,11,20,6,6,2000,50,91200,1,1,100
1,90,11,20,6,6,2000,50,91600,1,0.9,100
1,90,11,20,1,6,2000,5,92900,6,5.5,200
1,90,11,20,4,6,2000,5,95000,10,9.5,200
1,90,11,20,4,6,2000,5,95100,13,13,200
1,90,12,20,6,6,2000,50,200,2,1.8,100
1,90,12,20,10,6,2000,50,300,1,0.5,100
1,90,12,20,6,6,2000,50,600,1,0.8,100
1,90,12,20,6,6,2000,50,700,1,0.7,100
1,90,12,20,6,6,2000,50,1000,1,0.7,100
1,90,12,20,1,6,2000,50,1200,1,1.1,100
1,90,12,20,10,6,2000,50,1300,1,1.4,100
1,90,12,20,6,6,2000,50,1400,2,2,100
1,90,12,20,6,6,2000,20,1500,3,3.1,100
1,90,12,20,16,6,2000,5,3900,8,7.5,200
1,90,12,20,6,6,2000,5,4300,7,7.3,200
1,90,12,20,6,6,2000,5,4500,10,10.1,200
1,90,12,20,6,6,2000,5,4700,9,8.9,200
1,90,12,20,6,6,2000,5,5100,14,13.7,200
1,90,12,20,6,6,2000,50,10100,1,1.1,100
1,90,12,20,6,6,2000,50,10401,1,0.8,100
1,90,12,20,6,6,2000,50,10600,1,0.6,100
1,90,12,20,1,6,2000,50,10700,1,0.7,100
1,90,12,20,32,6,2000,50,11100,1,1.4,100
1,90,12,20,6,6,2000,50,11200,1,0.8,100
1,90,12,20,6,6,2000,20,11300,3,2.6,100
1,90,12,20,1,6,2000,50,11400,1,1.3,100
1,90,12,20,6,6,2000,50,11500,1,1,100
1,90,12,20,6,6,2000,50,11600,2,2.1,100
1,90,12,20,1,6,2000,50,20500,1,1.4,100
1,90,12,20,10,6,2000,50,20600,1,1.2,100
1,90,12,20,6,6,2000,50,20700,1,1.2,100
1,90,12,20,6,6,2000,50,20800,1,0.6,100
1,90,12,20,6,6,2000,50,20901,1,0.6,100
1,90,12,20,6,6,2000,50,21000,2,1.9,100
1,90,12,20,1,6,2000,50,21100,1,1.2,100
1,90,12,20,4,6,2000,50,21200,1,1.3,100
1,90,12,20,1,6,2000,50,21300,1,0.9,100
1,90,12,20,1,6,2000,50,21400,1,0.6,100
1,90,12,20,6,6,2000,50,21500,1,1.2,100
1,90,12,20,15,6,2000,50,21600,1,0.7,100
1,90,12,20,1,6,2000,50,21700,2,2.3,100
1,90,12,20,4,6,2000,50,21800,1,0.7,100
1,90,12,20,6,6,2000,50,21901,1,0.8,100
1,90,12,20,6,6,2000,50,22000,1,0.7,100
1,90,12,20,1,6,2000,50,22100,1,1.3,100
1,90,12,20,10,6,2000,50,22200,2,2.2,100
1,90,12,20,1,6,2000,20,22300,3,3.3,100
1,90,12,20,4,6,2000,5,24000,13,13,200
1,90,12,20,4,6,2000,5,24600,13,13.2,200
1,90,12,20,4,6,2000,5,25000,11,10.9,200
1,90,12,20,1,6,2000,50,30200,1,1,100
1,90,12,20,4,6,2000,50,30300,1,0.9,100
1,90,12,20,6,6,2000,50,30600,1,1.1,100
1,90,12,20,6,6,2000,50,30700,1,0.8,100
1,90,12,20,15,6,2000,50,30800,1,0.7,100
1,90,12,20,6,6,2000,50,30900,1,0.6,100
1,90,12,20,1,6,2000,50,31000,1,0.7,100
1,90,12,20,1,6,2000,50,31100,1,0.8,100
1,90,12,20,4,6,2000,50,31200,2,1.6,100
1,90,12,20,4,6,2000,50,31300,1,0.9,100
1,90,12,20,1,6,2000,50,31401,1,0.6,100
1,90,12,20,6,6,2000,5,34700,15,14.5,200
1,90,12,20,6,6,2000,5,34800,13,13.1,200
1,90,12,20,10,6,2000,50,40100,1,0.5,100
1,90,12,20,10,6,2000,50,40400,1,1.1,100
1,90,12,20,4,6,2000,50,40800,1,0.6,100
1,90,12,20,1,6,2000,50,41400,1,0.7,100
1,90,12,20,6,6,2000,50,41500,1,1.2,100
1,90,12,20,6,6,2000,5,41600,6,6.4,200
